Index: 105, Mean: 39.89752197265625, Std: 8731.796875
Index: 106, Mean: 39.808441162109375, Std: 8709.4453125
Index: 107, Mean: 39.71786117553711, Std: 8687.0712890625
Index: 108, Mean: 39.85721969604492, Std: 8722.95703125
Index: 109, Mean: 39.92145919799805, Std: 8739.3916015625
Index: 110, Mean: 40.00865936279297, Std: 8761.3818359375
Index: 111, Mean: 39.99496078491211, Std: 8756.9619140625
Index: 112, Mean: 40.00060272216797, Std: 8761.517578125
Index: 113, Mean: 39.91862869262695, Std: 8739.8564453125
Index: 114, Mean: 39.9466438293457, Std: 8745.1005859375
Index: 115, Mean: 39.78810501098633, Std: 8706.0712890625
Index: 116, Mean: 39.89324188232422, Std: 8733.197265625
Index: 117, Mean: 39.83229446411133, Std: 8720.9697265625
Index: 118, Mean: 39.78313446044922, Std: 8709.3525390625
Index: 119, Mean: 39.73281478881836, Std: 8696.15234375
Index: 120, Mean: 39.70920944213867, Std: 8688.119140625
Index: 121, Mean: 39.669654846191406, Std: 8678.74609375
Index: 122, Mean: 39.5843505859375, Std: 8656.4384765625
Index: 123, Mean: 39.4905891418457, Std: 8630.5830078125
Index: 124, Mean: 39.43208312988281, Std: 8615.1552734375
Index: 125, Mean: 39.62181091308594, Std: 8662.1357421875
Index: 126, Mean: 39.60825729370117, Std: 8659.123046875
Index: 127, Mean: 39.61146545410156, Std: 8660.19140625
Index: 128, Mean: 39.577693939208984, Std: 8650.2880859375
Index: 129, Mean: 39.577579498291016, Std: 8651.58203125
Index: 130, Mean: 39.46709060668945, Std: 8623.1767578125
Index: 131, Mean: 39.42930603027344, Std: 8612.814453125
Index: 132, Mean: 39.609474182128906, Std: 8658.61328125
Index: 133, Mean: 39.60544967651367, Std: 8656.052734375
Index: 134, Mean: 39.53432846069336, Std: 8637.818359375
Index: 135, Mean: 39.6265983581543, Std: 8660.83984375
Index: 136, Mean: 39.648624420166016, Std: 8666.5107421875
Index: 137, Mean: 39.61859130859375, Std: 8658.9150390625
Index: 138, Mean: 39.57881164550781, Std: 8648.373046875
Index: 139, Mean: 39.56158447265625, Std: 8642.224609375
